127.0.0.1 - - [16/Dec/2019:10:08:17 +0900] "GET / HTTP/1.1" 404 1115
127.0.0.1 - - [16/Dec/2019:10:13:16 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:13:17 +0900] "GET /MyMVC/shop/odrcodeOwnerMemberInfo.up?odrcode=s20191213-32 HTTP/1.1" 200 1761
127.0.0.1 - - [16/Dec/2019:10:13:21 +0900] "GET /MyMVC/shop/odrcodeOwnerMemberInfo.up?odrcode=s20191213-32 HTTP/1.1" 200 1761
127.0.0.1 - - [16/Dec/2019:10:14:09 +0900] "GET /MyMVC/login/logout.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:14:09 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15711
127.0.0.1 - - [16/Dec/2019:10:14:09 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:14:09 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:14:15 +0900] "POST /MyMVC/login/loginEnd.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:14:15 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15283
127.0.0.1 - - [16/Dec/2019:10:14:15 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:14:15 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:14:19 +0900] "GET /MyMVC/shop/cartList.up HTTP/1.1" 200 31222
127.0.0.1 - - [16/Dec/2019:10:14:19 +0900] "GET /MyMVC/images/book_bomul_1.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:14:19 +0900] "GET /MyMVC/images/book_koreahistory_1.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:14:19 +0900] "GET /MyMVC/images/berkelekle%EC%8B%AC%ED%94%8C%EB%9D%BC%EC%9A%B4%EB%93%9C01.jpg HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:14:19 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:14:19 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:14:19 +0900] "GET /MyMVC/jquery-ui-1.11.4.custom/images/ui-bg_highlight-soft_100_feeebd_1x100.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:14:19 +0900] "GET /MyMVC/jquery-ui-1.11.4.custom/images/ui-bg_gloss-wave_60_fece2f_500x100.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:14:19 +0900] "GET /MyMVC/jquery-ui-1.11.4.custom/images/ui-icons_3d3d3d_256x240.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:14:23 +0900] "GET /MyMVC/shop/orderList.up HTTP/1.1" 200 21913
127.0.0.1 - - [16/Dec/2019:10:14:23 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:14:23 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:14:25 +0900] "GET /MyMVC/shop/cartList.up HTTP/1.1" 200 31222
127.0.0.1 - - [16/Dec/2019:10:14:26 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:14:26 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:14:26 +0900] "GET /MyMVC/jquery-ui-1.11.4.custom/images/ui-bg_gloss-wave_70_ffdd57_500x100.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:14:26 +0900] "GET /MyMVC/jquery-ui-1.11.4.custom/images/ui-icons_bd7b00_256x240.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:14:51 +0900] "POST /MyMVC/shop/orderAdd.up HTTP/1.1" 200 23
127.0.0.1 - - [16/Dec/2019:10:14:51 +0900] "GET /MyMVC/shop/orderList.up HTTP/1.1" 200 23047
127.0.0.1 - - [16/Dec/2019:10:14:51 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:14:51 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:15:40 +0900] "GET /MyMVC/images/berkelekle%EC%8B%AC%ED%94%8C%EB%9D%BC%EC%9A%B4%EB%93%9C01.jpg HTTP/1.1" 200 71317
127.0.0.1 - - [16/Dec/2019:10:16:05 +0900] "GET /MyMVC/login/logout.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:16:05 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15711
127.0.0.1 - - [16/Dec/2019:10:16:05 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:16:05 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:16:12 +0900] "POST /MyMVC/login/loginEnd.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:16:12 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15395
127.0.0.1 - - [16/Dec/2019:10:16:12 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:16:12 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:16:13 +0900] "GET /MyMVC/shop/orderList.up HTTP/1.1" 200 25505
127.0.0.1 - - [16/Dec/2019:10:16:14 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:16:14 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:16:28 +0900] "POST /MyMVC/shop/admin/deliverStart.up HTTP/1.1" 200 972
127.0.0.1 - - [16/Dec/2019:10:16:30 +0900] "GET /MyMVC/shop/orderList.up HTTP/1.1" 200 25244
127.0.0.1 - - [16/Dec/2019:10:16:30 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:16:30 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:16:42 +0900] "GET /MyMVC/login/logout.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:16:42 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15711
127.0.0.1 - - [16/Dec/2019:10:16:42 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:16:42 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:16:47 +0900] "POST /MyMVC/login/loginEnd.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:16:47 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15283
127.0.0.1 - - [16/Dec/2019:10:16:47 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:16:47 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:16:49 +0900] "GET /MyMVC/shop/orderList.up HTTP/1.1" 200 23115
127.0.0.1 - - [16/Dec/2019:10:16:49 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:16:49 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:22:27 +0900] "GET /MyMVC/login/logout.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:22:27 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15711
127.0.0.1 - - [16/Dec/2019:10:22:27 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:22:27 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:22:32 +0900] "POST /MyMVC/login/loginEnd.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:22:32 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15283
127.0.0.1 - - [16/Dec/2019:10:22:32 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:22:32 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:22:36 +0900] "GET /MyMVC/shop/orderList.up HTTP/1.1" 200 23115
127.0.0.1 - - [16/Dec/2019:10:22:36 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:22:36 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:22:51 +0900] "GET /MyMVC/shop/cartList.up HTTP/1.1" 200 29271
127.0.0.1 - - [16/Dec/2019:10:22:51 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:22:51 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:23:06 +0900] "POST /MyMVC/shop/orderAdd.up HTTP/1.1" 200 23
127.0.0.1 - - [16/Dec/2019:10:23:07 +0900] "GET /MyMVC/shop/orderList.up HTTP/1.1" 200 24250
127.0.0.1 - - [16/Dec/2019:10:23:07 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:23:07 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:23:19 +0900] "GET /MyMVC/login/logout.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:23:19 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15711
127.0.0.1 - - [16/Dec/2019:10:23:19 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:23:19 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:23:24 +0900] "POST /MyMVC/login/loginEnd.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:23:24 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15395
127.0.0.1 - - [16/Dec/2019:10:23:24 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:23:24 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:23:26 +0900] "GET /MyMVC/shop/orderList.up HTTP/1.1" 200 26908
127.0.0.1 - - [16/Dec/2019:10:23:26 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:23:26 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:23:33 +0900] "POST /MyMVC/shop/admin/deliverStart.up HTTP/1.1" 200 972
127.0.0.1 - - [16/Dec/2019:10:23:36 +0900] "GET /MyMVC/shop/orderList.up HTTP/1.1" 200 26648
127.0.0.1 - - [16/Dec/2019:10:23:36 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:23:36 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:30:54 +0900] "GET /MyMVC/login/logout.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:30:54 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15711
127.0.0.1 - - [16/Dec/2019:10:30:54 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:30:54 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:31:18 +0900] "POST /MyMVC/login/loginEnd.up HTTP/1.1" 302 -
127.0.0.1 - - [16/Dec/2019:10:31:18 +0900] "GET /MyMVC/index.up HTTP/1.1" 200 15283
127.0.0.1 - - [16/Dec/2019:10:31:18 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:18 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:31:24 +0900] "GET /MyMVC/shop/mallHome.up HTTP/1.1" 200 21816
127.0.0.1 - - [16/Dec/2019:10:31:24 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:24 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:31:25 +0900] "GET /MyMVC/shop/mallDisplayJSON.up?pspec=HIT&start=1&len=8 HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:25 +0900] "GET /MyMVC/images/tv_samsung_h450_1.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:25 +0900] "GET /MyMVC/images/notebook_lg_gt50k_1.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:25 +0900] "GET /MyMVC/images/3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:25 +0900] "GET /MyMVC/images/1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:26 +0900] "GET /MyMVC/shop/mallByCategory.up?code=200000&cname=%EC%9D%98%EB%A5%98 HTTP/1.1" 200 21595
127.0.0.1 - - [16/Dec/2019:10:31:26 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:26 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:31:26 +0900] "GET /MyMVC/shop/categoryDisplayJSON.up?pcategory_fk=200000&start=1&len=8 HTTP/1.1" 200 960
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/shop/prodView.up?pnum=58 HTTP/1.1" 200 27267
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/images/berkelekle%EC%8B%AC%ED%94%8CV%EB%84%A502.jpg HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/images/berkelekle%EB%8D%A9%ED%81%AC04.jpg HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/images/berkelekle%EB%8B%A8%EA%B0%80%EB%9D%BC%ED%8F%AC%EC%9D%B8%ED%8A%B803.jpg HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/images/berkelekle%EB%94%94%EC%8A%A4%ED%8A%B8%EB%A6%AC%EB%B7%B0%ED%8A%B806.jpg HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/images/berkelekle%ED%8A%B8%EB%9E%9C%EB%94%9405.jpg HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/shop/likeDislikeCount.up?pnum=58 HTTP/1.1" 200 36
127.0.0.1 - - [16/Dec/2019:10:31:27 +0900] "GET /MyMVC/shop/commentList.up?pnum=58 HTTP/1.1" 200 134
127.0.0.1 - - [16/Dec/2019:10:31:28 +0900] "POST /MyMVC/shop/cartAdd.up HTTP/1.1" 200 920
127.0.0.1 - - [16/Dec/2019:10:31:30 +0900] "GET /MyMVC/shop/cartList.up HTTP/1.1" 200 29272
127.0.0.1 - - [16/Dec/2019:10:31:30 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:30 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:31:36 +0900] "GET /MyMVC/shop/mallByCategory.up?code=200000&cname=%EC%9D%98%EB%A5%98 HTTP/1.1" 200 21595
127.0.0.1 - - [16/Dec/2019:10:31:36 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:36 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:31:36 +0900] "GET /MyMVC/shop/categoryDisplayJSON.up?pcategory_fk=200000&start=1&len=8 HTTP/1.1" 200 960
127.0.0.1 - - [16/Dec/2019:10:31:38 +0900] "GET /MyMVC/shop/prodView.up?pnum=4 HTTP/1.1" 200 26516
127.0.0.1 - - [16/Dec/2019:10:31:38 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:38 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:31:38 +0900] "GET /MyMVC/shop/likeDislikeCount.up?pnum=4 HTTP/1.1" 200 36
127.0.0.1 - - [16/Dec/2019:10:31:38 +0900] "GET /MyMVC/shop/commentList.up?pnum=4 HTTP/1.1" 200 10
127.0.0.1 - - [16/Dec/2019:10:31:39 +0900] "POST /MyMVC/shop/cartAdd.up HTTP/1.1" 200 920
127.0.0.1 - - [16/Dec/2019:10:31:41 +0900] "GET /MyMVC/shop/cartList.up HTTP/1.1" 200 31199
127.0.0.1 - - [16/Dec/2019:10:31:41 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:41 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:31:47 +0900] "GET /MyMVC/jquery-ui-1.11.4.custom/images/ui-bg_inset-soft_30_ffffff_1x100.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:47 +0900] "GET /MyMVC/jquery-ui-1.11.4.custom/images/ui-icons_eb990f_256x240.png HTTP/1.1" 304 -
127.0.0.1 - - [16/Dec/2019:10:31:51 +0900] "POST /MyMVC/shop/cartEdit.up HTTP/1.1" 200 15
127.0.0.1 - - [16/Dec/2019:10:31:51 +0900] "GET /MyMVC/shop/cartList.up?null HTTP/1.1" 200 31199
127.0.0.1 - - [16/Dec/2019:10:31:51 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:31:51 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:32:03 +0900] "POST /MyMVC/shop/cartEdit.up HTTP/1.1" 200 15
127.0.0.1 - - [16/Dec/2019:10:32:03 +0900] "GET /MyMVC/shop/cartList.up?null HTTP/1.1" 200 31206
127.0.0.1 - - [16/Dec/2019:10:32:03 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:32:03 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:32:17 +0900] "POST /MyMVC/shop/cartDel.up HTTP/1.1" 200 15
127.0.0.1 - - [16/Dec/2019:10:32:17 +0900] "GET /MyMVC/shop/cartList.up?null HTTP/1.1" 200 29263
127.0.0.1 - - [16/Dec/2019:10:32:17 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:32:17 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:32:29 +0900] "POST /MyMVC/shop/cartDel.up HTTP/1.1" 200 15
127.0.0.1 - - [16/Dec/2019:10:32:29 +0900] "GET /MyMVC/shop/cartList.up?null HTTP/1.1" 200 27304
127.0.0.1 - - [16/Dec/2019:10:32:29 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:32:29 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:32:34 +0900] "GET /MyMVC/shop/mallByCategory.up?code=200000&cname=%EC%9D%98%EB%A5%98 HTTP/1.1" 200 21595
127.0.0.1 - - [16/Dec/2019:10:32:34 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:32:34 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:32:34 +0900] "GET /MyMVC/shop/categoryDisplayJSON.up?pcategory_fk=200000&start=1&len=8 HTTP/1.1" 200 960
127.0.0.1 - - [16/Dec/2019:10:32:35 +0900] "GET /MyMVC/shop/prodView.up?pnum=58 HTTP/1.1" 200 27267
127.0.0.1 - - [16/Dec/2019:10:32:35 +0900] "GET /MyMVC/login/idFind.up HTTP/1.1" 200 2338
127.0.0.1 - - [16/Dec/2019:10:32:35 +0900] "GET /MyMVC/login/pwdFind.up HTTP/1.1" 200 3072
127.0.0.1 - - [16/Dec/2019:10:32:35 +0900] "GET /MyMVC/shop/likeDislikeCount.up?pnum=58 HTTP/1.1" 200 36
